,distro,params,error
0,lognorm,[1.23670931 0.69409178 0.16325982],3.630872953579358e-06
1,weibull,[ 1.04751504 15.00393121  0.93897466],4.424742277492661e-06
2,gaussian,[0.41662485 1.70911043 0.11476577],1.642846433927681e-05
3,exponential,[0.23291777 0.23291771],1.4013817791516124e-05
4,gamma,[1.1432182  2.41120237 0.17768936],4.445250821912939e-06
5,beta,[2. 2. 1.],
6,cauchy,[ 0.27999293  1.7666385  -0.12292122],1.2943876231629753e-05
7,t,[9.99612509 0.39887535 1.71937459 0.11837699],1.4202489512738279e-05
8,invgauss,[ 1.89166771 -0.11267099  0.0750936 ],2.61530980063532e-06
9,linear,[40.  1.],1.834795804755927e-05
